iter	RMSE
0	14.25775568
1	13.28698863
2	12.45212876
3	11.66291321
4	11.01357037
5	10.52457008
6	10.01105245
7	9.548346038
8	9.123038571
9	8.703346835
10	8.331987476
11	7.999045965
12	7.744342849
13	7.490579896
14	7.263835176
15	7.07184332
16	6.909377404
17	6.733420883
18	6.590615666
19	6.45744247
20	6.34789685
21	6.254286309
22	6.15222593
23	6.069493201
24	5.974264907
25	5.89937666
26	5.834810907
27	5.785536644
28	5.742882755
29	5.700108187
30	5.654291154
31	5.615575466
32	5.58193453
33	5.552181617
34	5.517570728
35	5.48230142
36	5.457216623
37	5.42955257
38	5.404979555
39	5.379321002
40	5.36552488
41	5.351781029
42	5.336741605
43	5.322648752
44	5.31056126
45	5.290505578
46	5.268946716
47	5.252239847
48	5.234571191
49	5.20786019
50	5.189111736
51	5.181280153
52	5.169359663
53	5.155814652
54	5.14471365
55	5.131456943
56	5.117886728
57	5.10682637
58	5.086458174
59	5.077228782
60	5.0665731
61	5.057346623
62	5.051530918
63	5.040803604
64	5.034151348
65	5.030188732
66	5.010595598
67	4.994124039
68	4.988480353
69	4.975318962
70	4.973649803
71	4.963024284
72	4.954087231
73	4.951538614
74	4.946890566
75	4.940665253
76	4.927844603
77	4.923238255
78	4.909699305
79	4.897289144
80	4.889379272
81	4.884889893
82	4.871488332
83	4.867194783
84	4.858760851
85	4.844648319
86	4.83933922
87	4.834876104
88	4.822618661
89	4.820505374
90	4.817024451
91	4.814230681
92	4.805335712
93	4.79890538
94	4.785409513
95	4.767538082
96	4.750691239
97	4.745796802
98	4.742159277
99	4.738421984
