iter	Passed	Remaining
0	1	117
1	1	96
2	2	87
3	3	82
4	4	80
5	5	78
6	5	78
7	6	76
8	7	75
9	8	73
10	8	72
11	9	70
12	10	70
13	11	69
14	12	68
15	12	67
16	13	67
17	14	66
18	15	65
19	16	64
20	16	63
21	17	62
22	18	61
23	19	60
24	19	59
25	20	58
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	54
32	26	53
33	27	52
34	27	51
35	28	50
36	29	50
37	30	49
38	30	48
39	31	47
40	32	46
41	33	46
42	34	45
43	34	44
44	35	43
45	36	42
46	37	42
47	38	41
48	38	40
49	39	39
50	40	38
51	41	38
52	42	37
53	43	36
54	44	36
55	44	35
56	45	34
57	46	33
58	47	32
59	48	32
60	48	31
61	49	30
62	50	29
63	51	28
64	52	28
65	52	27
66	53	26
67	54	25
68	55	24
69	56	24
70	56	23
71	57	22
72	59	21
73	59	21
74	60	20
75	61	19
76	62	18
77	63	17
78	63	16
79	64	16
80	65	15
81	66	14
82	67	13
83	67	12
84	68	12
85	69	11
86	70	10
87	71	9
88	71	8
89	72	8
90	73	7
91	74	6
92	75	5
93	75	4
94	76	4
95	77	3
96	78	2
97	78	1
98	79	0
99	80	0
