iter	RMSE
0	14.94085187
1	14.54155705
2	14.16826852
3	13.78812733
4	13.43296661
5	13.14622368
6	12.81597352
7	12.53760256
8	12.2680594
9	11.96857843
10	11.68928407
11	11.42239914
12	11.19576754
13	10.94762019
14	10.70148157
15	10.4627581
16	10.24793877
17	10.04946704
18	9.848428848
19	9.656342172
20	9.48183128
21	9.301264587
22	9.137358382
23	8.966495221
24	8.823021429
25	8.691113535
26	8.5405815
27	8.411719862
28	8.275082986
29	8.14746621
30	8.044108765
31	7.933777055
32	7.834559817
33	7.723136953
34	7.61520957
35	7.516107974
36	7.424313184
37	7.334715802
38	7.247415721
39	7.161545295
40	7.09320314
41	7.024809729
42	6.955578445
43	6.894320901
44	6.825392386
45	6.770069364
46	6.704414989
47	6.651394946
48	6.594652546
49	6.535060677
50	6.47784993
51	6.431676975
52	6.386694674
53	6.339607696
54	6.293842977
55	6.25413534
56	6.211983321
57	6.174927647
58	6.137761738
59	6.107644745
60	6.079273904
61	6.049402873
62	6.022763203
63	5.989626623
64	5.960619324
65	5.938374949
66	5.909290529
67	5.881995573
68	5.860601575
69	5.837903861
70	5.816587602
71	5.795918286
72	5.778995427
73	5.757830064
74	5.735525752
75	5.715903862
76	5.698819123
77	5.678543289
78	5.665017208
79	5.647117945
80	5.636672456
81	5.620950641
82	5.604413147
83	5.592355349
84	5.579907563
85	5.563530797
86	5.54880199
87	5.537868172
88	5.522597244
89	5.505863216
90	5.495400674
91	5.486211975
92	5.479124888
93	5.471115497
94	5.463814671
95	5.453881359
96	5.440825672
97	5.43219192
98	5.423691315
99	5.411404875
100	5.40221459
101	5.392885955
102	5.381322492
103	5.373295443
104	5.363404637
105	5.357902035
106	5.348088253
107	5.338412641
108	5.333390155
109	5.326494973
110	5.323064878
111	5.317434265
112	5.312219434
113	5.308677766
114	5.304254808
115	5.298151872
116	5.292509556
117	5.287755775
118	5.284687244
119	5.276687259
120	5.268793829
121	5.265568691
122	5.259288523
123	5.253639258
124	5.249594845
125	5.240779172
126	5.233825404
127	5.229923755
