iter	Passed	Remaining
0	174	174147
1	176	88185
2	177	59031
3	178	44455
4	179	35745
5	180	29943
6	181	25800
7	182	22678
8	184	20263
9	185	18344
10	186	16751
11	188	15504
12	189	14369
13	190	13394
14	191	12549
15	192	11815
16	193	11178
17	194	10597
18	195	10081
19	196	9624
20	197	9210
21	198	8834
22	199	8480
23	201	8184
24	202	7903
25	203	7634
26	204	7380
27	205	7146
28	206	6920
29	207	6713
30	208	6518
31	209	6335
32	210	6171
33	211	6007
34	212	5856
35	213	5717
36	215	5596
37	216	5473
38	217	5352
39	218	5237
40	219	5125
41	219	5015
42	220	4913
43	221	4811
44	222	4714
45	222	4623
46	223	4537
47	224	4458
48	225	4378
49	226	4301
50	227	4232
51	228	4173
52	229	4109
53	230	4045
54	231	3981
55	232	3919
56	233	3859
57	234	3802
58	234	3747
59	235	3694
60	236	3642
61	237	3594
62	238	3548
63	239	3501
64	240	3453
65	240	3410
66	242	3370
67	243	3340
68	244	3299
69	245	3259
70	246	3220
71	247	3183
72	247	3146
73	248	3108
74	249	3073
75	249	3039
76	250	3005
77	251	2973
78	252	2941
79	253	2910
80	253	2877
81	254	2848
82	255	2820
83	256	2794
84	257	2774
85	258	2749
86	259	2724
87	260	2698
88	261	2672
89	261	2648
90	262	2624
91	263	2601
92	264	2578
93	265	2555
94	265	2532
95	266	2510
96	267	2489
97	268	2469
98	269	2449
99	269	2429
100	271	2414
101	272	2400
102	273	2383
103	274	2364
104	275	2346
105	276	2328
106	277	2312
107	277	2295
108	278	2278
109	279	2262
110	280	2243
111	281	2228
112	281	2212
113	282	2198
114	283	2183
115	284	2168
116	285	2154
117	286	2142
118	287	2132
119	288	2118
120	289	2105
121	290	2091
122	291	2077
123	292	2064
124	293	2051
125	293	2037
126	294	2024
127	295	2011
128	296	1999
129	296	1986
130	297	1974
131	298	1962
132	299	1950
133	299	1938
134	300	1927
135	301	1918
136	303	1908
137	303	1897
138	304	1886
139	305	1875
140	306	1864
141	306	1853
142	307	1842
143	308	1832
144	308	1821
145	309	1811
146	310	1801
147	311	1791
148	311	1781
149	312	1771
150	313	1762
151	314	1753
152	315	1746
153	317	1744
154	318	1736
155	319	1729
156	320	1721
157	321	1712
158	322	1703
159	322	1695
160	323	1686
161	324	1677
162	325	1669
163	326	1662
164	326	1654
165	327	1646
166	328	1639
167	329	1631
168	330	1624
169	332	1622
170	333	1617
171	334	1610
172	335	1602
173	336	1596
174	337	1590
175	338	1583
176	339	1576
177	339	1569
178	340	1562
179	341	1555
180	342	1548
181	343	1542
182	343	1535
183	345	1531
184	346	1528
185	347	1522
186	348	1516
187	349	1510
188	350	1503
189	351	1497
190	352	1491
191	352	1485
192	353	1479
193	354	1472
194	355	1466
195	356	1460
196	356	1454
197	357	1449
198	358	1443
199	359	1439
200	361	1435
201	362	1431
202	363	1425
203	364	1420
204	365	1416
205	366	1411
206	367	1406
207	367	1400
208	368	1395
209	369	1390
210	370	1384
211	370	1378
212	371	1373
213	372	1367
214	373	1363
215	374	1359
216	376	1357
217	377	1352
218	377	1347
219	378	1342
220	379	1338
221	380	1333
222	382	1331
223	383	1327
224	384	1325
225	386	1324
226	388	1323
227	390	1321
228	391	1319
229	392	1315
230	393	1310
231	394	1306
232	395	1301
233	396	1296
234	397	1293
235	398	1289
236	399	1284
237	399	1280
238	400	1276
239	401	1271
240	402	1266
241	403	1265
242	405	1264
243	406	1260
244	407	1256
245	408	1252
246	409	1248
247	410	1243
248	410	1239
249	411	1235
250	412	1230
251	413	1226
252	413	1222
253	414	1217
254	415	1213
255	416	1209
256	417	1206
257	418	1202
258	419	1200
259	420	1197
260	421	1193
261	422	1190
262	423	1186
263	424	1182
264	424	1178
265	425	1174
266	426	1170
267	427	1167
268	428	1163
269	429	1160
270	430	1156
271	430	1153
272	431	1149
273	432	1146
274	433	1143
275	434	1140
276	435	1136
277	436	1133
278	437	1129
279	437	1126
280	438	1122
281	439	1118
282	440	1115
283	441	1111
284	441	1108
285	442	1104
286	443	1101
287	444	1097
288	444	1094
289	445	1090
290	446	1087
291	447	1085
292	448	1083
293	450	1080
294	450	1077
295	451	1074
296	452	1071
297	453	1068
298	454	1064
299	455	1063
300	456	1060
301	457	1057
302	458	1054
303	459	1051
304	460	1048
305	461	1045
306	462	1043
307	463	1040
308	464	1038
309	465	1036
310	466	1033
311	467	1030
312	468	1027
313	468	1024
314	469	1021
315	470	1018
316	471	1015
317	472	1012
